Company,Metric,Lag,Test,F_statistic,p_value,Significant
Google,Price,11,params_ftest,1.210133,0.282634,False
Google,Price,12,ssr_ftest,0.980346,0.46924,False
Google,Price,12,ssr_chi2test,13.353906,0.343851,False
Google,Price,12,lrtest,12.946501,0.372941,False
Google,Price,12,params_ftest,0.980346,0.46924,False
Google,Volume,1,ssr_ftest,10.20185,0.001611,True
Google,Volume,1,ssr_chi2test,10.342243,0.0013,True
Google,Volume,1,lrtest,10.107542,0.001477,True
Google,Volume,1,params_ftest,10.20185,0.001611,True
Google,Volume,2,ssr_ftest,3.428806,0.034209,True
Google,Volume,2,ssr_chi2test,7.017091,0.02994,True
Google,Volume,2,lrtest,6.907507,0.031627,True
Google,Volume,2,params_ftest,3.428806,0.034209,True
Google,Volume,3,ssr_ftest,1.439984,0.232136,False
Google,Volume,3,ssr_chi2test,4.462592,0.215651,False
Google,Volume,3,lrtest,4.417733,0.219747,False
Google,Volume,3,params_ftest,1.439984,0.232136,False
Google,Volume,4,ssr_ftest,0.74077,0.565165,False
Google,Volume,4,ssr_chi2test,3.090676,0.542767,False
Google,Volume,4,lrtest,3.068972,0.54635,False
Google,Volume,4,params_ftest,0.74077,0.565165,False
Google,Volume,5,ssr_ftest,0.70286,0.621886,False
Google,Volume,5,ssr_chi2test,3.701959,0.593072,False
Google,Volume,5,lrtest,3.670736,0.597725,False
Google,Volume,5,params_ftest,0.70286,0.621886,False
Google,Volume,6,ssr_ftest,0.634204,0.70278,False
Google,Volume,6,ssr_chi2test,4.048907,0.670058,False
Google,Volume,6,lrtest,4.011426,0.67513,False
Google,Volume,6,params_ftest,0.634204,0.70278,False
Google,Volume,7,ssr_ftest,0.462949,0.860489,False
Google,Volume,7,ssr_chi2test,3.483688,0.83695,False
Google,Volume,7,lrtest,3.455766,0.839888,False
Google,Volume,7,params_ftest,0.462949,0.860489,False
Google,Volume,8,ssr_ftest,0.558396,0.811018,False
Google,Volume,8,ssr_chi2test,4.852659,0.773202,False
Google,Volume,8,lrtest,4.798458,0.778884,False
Google,Volume,8,params_ftest,0.558396,0.811018,False
Google,Volume,9,ssr_ftest,0.818982,0.599302,False
Google,Volume,9,ssr_chi2test,8.092728,0.524829,False
Google,Volume,9,lrtest,7.942777,0.539923,False
Google,Volume,9,params_ftest,0.818982,0.599302,False
Google,Volume,10,ssr_ftest,0.633224,0.784256,False
Google,Volume,10,ssr_chi2test,7.028452,0.722756,False
Google,Volume,10,lrtest,6.914457,0.733495,False
Google,Volume,10,params_ftest,0.633224,0.784256,False
Google,Volume,11,ssr_ftest,0.658512,0.776296,False
Google,Volume,11,ssr_chi2test,8.129816,0.70163,False
Google,Volume,11,lrtest,7.977106,0.715353,False
Google,Volume,11,params_ftest,0.658512,0.776296,False
Google,Volume,12,ssr_ftest,0.579872,0.856707,False
Google,Volume,12,ssr_chi2test,7.898798,0.792988,False
Google,Volume,12,lrtest,7.753871,0.804057,False
Google,Volume,12,params_ftest,0.579872,0.856707,False
Google,Volatility,1,ssr_ftest,4.406331,0.036957,True
Google,Volatility,1,ssr_chi2test,4.466969,0.034556,True
Google,Volatility,1,lrtest,4.422424,0.03547,True
Google,Volatility,1,params_ftest,4.406331,0.036957,True
Google,Volatility,2,ssr_ftest,2.100709,0.124874,False
Google,Volatility,2,ssr_chi2test,4.299125,0.116535,False
Google,Volatility,2,lrtest,4.257658,0.118977,False
Google,Volatility,2,params_ftest,2.100709,0.124874,False
Google,Volatility,3,ssr_ftest,1.836477,0.141548,False
Google,Volatility,3,ssr_chi2test,5.691347,0.127631,False
Google,Volatility,3,lrtest,5.618651,0.131712,False
Google,Volatility,3,params_ftest,1.836477,0.141548,False
Google,Volatility,4,ssr_ftest,2.125053,0.078878,False
Google,Volatility,4,ssr_chi2test,8.866251,0.064531,False
Google,Volatility,4,lrtest,8.690696,0.069313,False
Google,Volatility,4,params_ftest,2.125053,0.078878,False
Google,Volatility,5,ssr_ftest,1.630709,0.153274,False
Google,Volatility,5,ssr_chi2test,8.588928,0.126627,False
Google,Volatility,5,lrtest,8.423308,0.134398,False
Google,Volatility,5,params_ftest,1.630709,0.153274,False
Google,Volatility,6,ssr_ftest,1.341186,0.240386,False
Google,Volatility,6,ssr_chi2test,8.562449,0.199722,False
Google,Volatility,6,lrtest,8.397093,0.21043,False
Google,Volatility,6,params_ftest,1.341186,0.240386,False
Google,Volatility,7,ssr_ftest,1.765496,0.096039,False
Google,Volatility,7,ssr_chi2test,13.285361,0.065453,False
Google,Volatility,7,lrtest,12.891056,0.074808,False
Google,Volatility,7,params_ftest,1.765496,0.096039,False
Google,Volatility,8,ssr_ftest,1.502274,0.158399,False
Google,Volatility,8,ssr_chi2test,13.055297,0.109961,False
Google,Volatility,8,lrtest,12.672561,0.123623,False
Google,Volatility,8,params_ftest,1.502274,0.158399,False
Google,Volatility,9,ssr_ftest,1.313973,0.231688,False
Google,Volatility,9,ssr_chi2test,12.983952,0.163334,False
Google,Volatility,9,lrtest,12.603598,0.181378,False
Google,Volatility,9,params_ftest,1.313973,0.231688,False
Google,Volatility,10,ssr_ftest,1.498442,0.14244,False
Google,Volatility,10,ssr_chi2test,16.631925,0.082916,False
Google,Volatility,10,lrtest,16.01175,0.099297,False
Google,Volatility,10,params_ftest,1.498442,0.14244,False
Google,Volatility,11,ssr_ftest,1.422541,0.165494,False
Google,Volatility,11,ssr_chi2test,17.562324,0.092308,False
Google,Volatility,11,lrtest,16.869617,0.111792,False
Google,Volatility,11,params_ftest,1.422541,0.165494,False
Google,Volatility,12,ssr_ftest,1.288032,0.228541,False
Google,Volatility,12,ssr_chi2test,17.545078,0.130218,False
Google,Volatility,12,lrtest,16.850575,0.155305,False
Google,Volatility,12,params_ftest,1.288032,0.228541,False
Microsoft,Price,1,ssr_ftest,1.990067,0.159759,False
Microsoft,Price,1,ssr_chi2test,2.017453,0.1555,False
Microsoft,Price,1,lrtest,2.0083,0.156441,False
Microsoft,Price,1,params_ftest,1.990067,0.159759,False
Microsoft,Price,2,ssr_ftest,0.906169,0.405607,False
Microsoft,Price,2,ssr_chi2test,1.854485,0.395643,False
Microsoft,Price,2,lrtest,1.846712,0.397184,False
Microsoft,Price,2,params_ftest,0.906169,0.405607,False
Microsoft,Price,3,ssr_ftest,0.866131,0.459479,False
Microsoft,Price,3,ssr_chi2test,2.684189,0.442921,False
Microsoft,Price,3,lrtest,2.667872,0.445715,False
Microsoft,Price,3,params_ftest,0.866131,0.459479,False
Microsoft,Price,4,ssr_ftest,0.749333,0.559462,False
Microsoft,Price,4,ssr_chi2test,3.126402,0.5369,False
Microsoft,Price,4,lrtest,3.104195,0.540542,False
Microsoft,Price,4,params_ftest,0.749333,0.559462,False
Microsoft,Price,5,ssr_ftest,0.628263,0.678379,False
Microsoft,Price,5,ssr_chi2test,3.309057,0.652455,False
Microsoft,Price,5,lrtest,3.28408,0.65628,False
Microsoft,Price,5,params_ftest,0.628263,0.678379,False
Microsoft,Price,6,ssr_ftest,0.614954,0.718214,False
Microsoft,Price,6,ssr_chi2test,3.92601,0.686689,False
Microsoft,Price,6,lrtest,3.890757,0.691457,False
Microsoft,Price,6,params_ftest,0.614954,0.718214,False
Microsoft,Price,7,ssr_ftest,0.564641,0.784075,False
Microsoft,Price,7,ssr_chi2test,4.248924,0.750701,False
Microsoft,Price,7,lrtest,4.207484,0.755593,False
Microsoft,Price,7,params_ftest,0.564641,0.784075,False
Microsoft,Price,8,ssr_ftest,0.520923,0.839931,False
Microsoft,Price,8,ssr_chi2test,4.527008,0.806725,False
Microsoft,Price,8,lrtest,4.47979,0.811452,False
Microsoft,Price,8,params_ftest,0.520923,0.839931,False
Microsoft,Price,9,ssr_ftest,0.567346,0.822798,False
Microsoft,Price,9,ssr_chi2test,5.606194,0.778593,False
Microsoft,Price,9,lrtest,5.533686,0.785528,False
Microsoft,Price,9,params_ftest,0.567346,0.822798,False
Microsoft,Price,10,ssr_ftest,0.607232,0.806621,False
Microsoft,Price,10,ssr_chi2test,6.739961,0.749745,False
Microsoft,Price,10,lrtest,6.635039,0.759391,False
Microsoft,Price,10,params_ftest,0.607232,0.806621,False
Microsoft,Price,11,ssr_ftest,0.513577,0.892719,False
Microsoft,Price,11,ssr_chi2test,6.340485,0.849708,False
Microsoft,Price,11,lrtest,6.247087,0.85638,False
Microsoft,Price,11,params_ftest,0.513577,0.892719,False
